,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
0,SR Tendulkar (INDIA),1989-2012,439,436,36,17908,200,44.77,20772,86.21,48,94,19,
1,KC Sangakkara (Asia/ICC/SL),2000-2015,386,370,39,13942,169,42.12,17618,79.13,25,90,15,
2,RT Ponting (AUS/ICC),1995-2012,363,355,38,13470,164,42.49,16727,80.52,30,81,19,
3,ST Jayasuriya (Asia/SL),1989-2011,429,423,15,12987,189,31.83,14252,91.12,27,64,33,
4,DPMD Jayawardene (Asia/SL),1998-2015,430,407,36,12429,144,33.5,15719,79.06,19,75,27,
5,V Kohli (INDIA),2008-2022,252,248,37,12221,183,57.91,13120,93.14,43,63,15,
6,Inzamam-ul-Haq (Asia/PAK),1991-2007,369,343,53,11696,137*,40.33,15734,74.33,10,83,17,
7,JH Kallis (Afr/ICC/SA),1996-2014,318,306,48,11479,139,44.49,15678,73.21,17,85,16,
8,SC Ganguly (Asia/INDIA),1992-2007,295,293,22,11293,183,41.67,15251,74.04,22,72,14,
9,MS Dhoni (Asia/INDIA),2004-2019,335,292,81,10583,183*,50.15,12083,87.58,10,72,10,
10,R Dravid (Asia/ICC/INDIA),1996-2011,327,309,39,10578,153,39.17,14837,71.29,12,80,13,
11,CH Gayle (ICC/WI),1999-2019,281,281,15,10284,215,38.66,11675,88.08,25,54,23,
12,BC Lara (ICC/WI),1990-2007,286,281,32,10157,169,40.79,12730,79.78,19,62,16,
13,TM Dilshan (SL),1999-2016,314,295,39,10023,161*,39.15,11603,86.38,22,45,11,
14,Mohammad Yousuf (Asia/PAK),1998-2010,283,270,40,9578,141*,41.64,12741,75.17,15,63,15,
15,AC Gilchrist (AUS/ICC),1996-2008,280,273,11,9568,172,36.51,9861,97.02,16,55,17,
16,AB de Villiers (Afr/SA),2005-2018,221,215,38,9429,176,53.27,9317,101.2,24,53,7,
17,RG Sharma (INDIA),2007-2022,223,219,30,9245,264,48.91,10369,89.15,29,44,12,
18,M Azharuddin (INDIA),1985-2000,320,301,51,9143,153*,36.57,12401,73.72,7,55,9,
19,PA de Silva (SL),1984-2003,295,288,29,9143,145,35.3,11290,80.98,11,63,17,
20,Saeed Anwar (PAK),1989-2003,241,239,17,8679,194,39.09,10763,80.63,20,42,14,
21,Yuvraj Singh (Asia/INDIA),2000-2017,289,271,37,8624,150,36.85,9829,87.74,14,52,16,
22,S Chanderpaul (WI),1994-2011,255,244,38,8606,150,41.77,12132,70.93,11,58,6,
23,DL Haynes (WI),1978-1994,234,234,27,8563,152*,41.36,13534,63.27,17,56,13,
24,ME Waugh (AUS),1988-2002,242,235,19,8455,173,39.14,10985,76.96,18,50,16,
25,MS Atapattu (SL),1990-2007,261,254,31,8426,132*,37.78,12450,67.67,11,59,13,
26,LRPL Taylor (NZ),2006-2022,219,210,36,8405,181*,48.3,10082,83.36,21,50,9,
27,HM Amla (SA),2008-2019,175,173,12,8079,159,50.18,9128,88.5,27,39,4,
28,V Sehwag (Asia/ICC/INDIA),1999-2013,237,235,7,8074,219,35.41,7743,104.27,15,37,14,
29,Shahid Afridi (Asia/ICC/PAK),1996-2015,389,363,26,8001,124,23.74,6824,117.24,6,39,29,
30,SP Fleming (ICC/NZ),1994-2007,265,262,20,7959,134*,32.88,11129,71.51,8,49,16,
31,HH Gibbs (SA),1996-2010,241,235,14,7915,175,35.81,9520,83.14,20,37,22,
32,Tamim Iqbal (BAN),2007-2022,221,221,9,7667,158,36.16,9761,78.54,14,50,19,
33,MJ Clarke (AUS),2003-2015,232,214,43,7661,117,44.8,9723,78.79,7,57,10,
34,EJG Morgan (ENG/IRE),2006-2021,235,225,31,7645,148,39.4,8367,91.37,14,47,16,
